file,randomRater,transcription,autoTranscription,transcription(arpabet),autoTranscription(arpabet),MED
word_wagon_322.wav,rater2,wægən,wæɡən ,W AE G AH0 N,W AE G AH0 N  ,0
word_teeth_307.wav,rater2,tiθ,ti ,T IY TH,T IY  ,1
word_baby_319.wav,rater3,bɛbi,beɪbi ,B EH B IY,B EY B IY  ,1
phrase_juice_311.wav,rater3,dʒuʃ,jɛs ,JH UW SH,Y EH S  ,3
phrase_wave_313.wav,rater2,wɪf,wiv ,W IH F,W IY V  ,2
phrase_video_320.wav,rater3,vɪjoʊs,vɪdioʊz ,V IH Y OW S,V IH D IY OW Z  ,3
phrase_TV_313.wav,rater3,tifi,tifi ,T IY F IY,T IY F IY  ,0
phrase_tiger_recast_317.wav,rater2,tɑdoʊ,ʌðər ,T AA D OW,AH DH AH0 R  ,4
phrase_dog_315.wav,rater2,dɑk,dɑk ,D AA K,D AA K  ,0
phrase_house_recast_317.wav,rater1,haʊs,haʊs ,HH AW S,HH AW S  ,0
phrase_chicken_325.wav,rater2,tʃɪkən,tʃɪk ɪn ,CH IH K AH0 N,CH IH K   IH N  ,3
phrase_yellow_314.wav,rater2,jɛlo,jɛloʊ ,Y EH L O,Y EH L OW  ,1
phrase_sock_312.wav,rater2,ʃɑk,sɛkənt ,SH AA K,S EH K AH0 N T  ,5
word_water_303.wav,rater1,wɑdɚ,blædər ,W AA D ER0,B L AE D AH0 R  ,5
word_jacket_316.wav,rater2,dʒækɪt,dʒækɪt ,JH AE K IH T,JH AE K IH T  ,0
word_color_311.wav,rater1,kʌlɚ,kʌlər ,K AH L ER0,K AH L AH0 R  ,2
word_chair_301.wav,rater3,tʃer,tʃɛr ,CH E R,CH EH R  ,1
phrase_video_304.wav,rater3,vɪdhə,vɪdioʊ ,V IH D HH AH0,V IH D IY OW  ,2
phrase_game_310.wav,rater3,geɪm,ɡeɪm ,G EY M,G EY M  ,0
phrase_ring_305.wav,rater3,ræŋ,rɪŋ ,R AE NG,R IH NG  ,1
phrase_money_321.wav,rater1,mʌni,mʌni ,M AH N IY,M AH N IY  ,0
